Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-11-29 14:29:39,false,"Norrköping Running","6.27","335","00:40:06","144","172","2.0","167","177","6:24","5:48","37","39","0.94","0.0","0.0","0.0","0.0","0.0","40:06","0:00","0.0","0:00","No","40:06.45","1","0.0"
Running,2020-11-28 09:36:01,false,"Norrköping Running","19.58","1,311","02:35:01","157","183","3.0","158","248","7:55","4:55","178","179","0.80","0.0","0.0","0.0","0.0","0.0","2:35:01","0:00","0.0","0:00","No","02:22.77","3","0.0"
Running,2020-11-26 18:37:45,false,"Norrköping Running","10.70","537","01:10:12","142","175","2.1","167","185","6:33","4:37","85","87","0.91","0.0","0.0","0.0","0.0","0.0","1:10:12","0:00","0.0","0:00","No","00:33.22","21","0.0"
Running,2020-11-25 19:26:05,false,"Norrköping Running","6.45","349","00:40:00","146","181","2.2","164","197","6:12","3:04","27","34","0.98","0.0","0.0","0.0","0.0","0.0","40:00","0:00","0.0","0:00","No","39:59.98","1","0.0"
Running,2020-11-24 17:39:45,false,"Linkoping Running","11.76","616","01:22:00","149","186","2.7","163","235","6:58","4:26","88","86","0.88","0.0","0.0","0.0","0.0","0.0","1:22:00","0:00","0.0","0:00","No","18:17.85","3","0.0"
Running,2020-11-23 11:40:34,false,"Linkoping Running","7.48","394","00:45:00","143","159","2.6","168","180","6:01","5:22","9","7","0.99","0.0","0.0","0.0","0.0","0.0","45:00","0:00","0.0","0:00","No","45:00.41","1","0.0"
Running,2020-11-22 09:47:31,false,"Linkoping Running","9.85","743","01:20:01","155","176","3.1","159","244","8:08","5:35","50","53","0.77","0.0","0.0","0.0","0.0","0.0","1:20:01","0:00","0.0","0:00","No","04:43.74","3","0.0"
Running,2020-11-22 09:47:13,false,"Linkoping Running","0.01","--","00:00:05.2","89","90","1.0","122","122","9:17","10:42","--","--","0.29","0.0","0.0","0.0","0.0","0.0","0:05.2","0:00","0.0","0:00","No","00:01.02","2","0.0"
Running,2020-11-21 15:11:17,false,"Linkoping Running","6.52","396","00:40:01","156","184","3.3","169","244","6:08","4:04","39","40","0.96","0.0","0.0","0.0","0.0","0.0","40:01","0:00","0.0","0:00","No","00:43.84","9","0.0"
Running,2020-11-20 17:51:23,false,"Linkoping Running","5.88","365","00:35:01","159","188","3.4","170","191","5:58","3:59","31","32","0.99","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","06:08.56","3","0.0"
Running,2020-11-18 09:23:49,false,"Norrköping Running","14.11","1,022","01:37:26","162","184","3.9","161","242","6:54","5:06","111","112","0.90","0.0","0.0","0.0","0.0","0.0","1:37:26","0:00","0.0","0:00","No","11:26.94","3","0.0"
Running,2020-11-16 19:40:58,false,"Norrköping Running","1.41","97","00:19:56","111","155","1.3","133","203","14:11","7:14","1,617","1,593","0.53","0.0","0.0","0.0","0.0","0.0","19:56","0:00","0.0","0:00","No","19:56.47","1","0.0"
Running,2020-11-16 18:38:28,false,"Norrköping Running","5.74","308","00:35:28","140","169","2.4","166","175","6:11","5:05","24","44","0.97","0.0","0.0","0.0","0.0","0.0","35:28","0:00","0.0","0:00","No","35:28.08","1","0.0"
Running,2020-11-15 13:22:47,false,"Norrköping Running","5.54","319","00:35:01","150","184","2.9","167","191","6:20","3:48","26","29","0.94","0.0","0.0","0.0","0.0","0.0","35:01","0:00","0.0","0:00","No","01:03.81","7","0.0"
Running,2020-11-14 11:07:16,false,"Norrköping Running","18.27","1,378","02:17:10","163","191","4.2","159","249","7:30","5:05","204","236","0.84","0.0","0.0","0.0","0.0","0.0","2:17:10","0:00","0.0","0:00","No","02:17:10.44","1","0.0"
Cycling,2020-11-13 12:50:20,false,"Norrköping Cycling","21.12","485","01:00:37","136","168","2.1","--","--","20.9","33.3","81","90","0.00","0.0","0.0","0.0","0.0","0.0","1:00:37","0:00","0.0","0:00","No","03:38.19","5","0.0"
Running,2020-11-12 07:59:37,false,"Norrköping Running","9.08","565","01:00:15","153","173","3.0","167","177","6:38","5:36","95","94","0.90","0.0","0.0","0.0","0.0","0.0","1:00:15","0:00","0.0","0:00","No","01:00:15.16","1","0.0"
Running,2020-11-10 18:11:57,false,"Norrköping Running","10.99","552","01:10:38","138","172","2.2","167","227","6:26","5:31","64","67","0.93","0.0","0.0","0.0","0.0","0.0","1:10:38","0:00","0.0","0:00","No","01:10:38.31","1","0.0"
Running,2020-11-09 18:05:05,false,"Norrköping Running","9.69","535","00:52:59","159","180","3.5","170","184","5:28","3:55","50","48","1.07","0.0","0.0","0.0","0.0","0.0","52:59","0:00","0.0","0:00","No","00:02.66","14","0.0"
Running,2020-11-09 17:45:04,false,"Norrköping Running","2.55","145","00:15:24","146","177","2.2","169","177","6:03","5:24","5","8","0.98","0.0","0.0","0.0","0.0","0.0","15:24","0:00","0.0","0:00","No","15:24.20","1","0.0"
